UserID,MovieID,Rating,Timestamp
5,860,2,978244493
5,1715,4,978245891
17,503,2,978159568
22,771,5,978134623
23,3474,3,978464645
23,1313,3,978462095
26,3056,3,978145836
29,2534,3,978136098
30,2544,4,978121513
31,3012,2,978120886
31,3640,2,978121516
33,3121,3,978108460
35,863,2,978100391
36,178,3,978063899
45,1782,2,977988489
45,2415,1,977989481
45,566,2,977989445
46,3280,5,977979487
46,847,1,977979482
46,1102,1,977979482
48,336,3,977975782
53,1522,4,977988752
53,3437,1,977988994
53,1861,3,977975723
53,617,5,977985555
53,561,5,977973053
58,1311,1,977936528
62,664,3,977906829
62,2079,4,977969867
62,1450,5,977901374
62,974,3,977909249
62,630,4,977904634
64,2913,4,977891508
69,617,5,977882326
75,146,3,977852680
75,634,3,977850585
78,3282,4,978571175
78,1871,4,978570767
86,754,5,977696746
87,826,1,977694356
90,993,3,993875994
94,3933,3,977628482
94,1349,3,977628700
97,2904,5,977622298
113,3883,1,977507339
117,251,4,977501345
123,3001,2,977527675
123,687,2,979399501
123,2242,2,977595008
123,2415,3,978185328
123,2343,2,979678538
123,1715,2,977595228
123,1807,4,977595816
123,3465,2,977591284
123,1890,3,978185302
128,3154,3,977434232
129,1313,3,977435357
131,649,4,977454276
131,1543,4,977598234
131,406,3,977444928
131,617,3,977433347
133,129,4,977422694
136,793,2,977424620
136,1715,4,977421247
136,1780,3,977421113
137,2998,3,1000869342
146,3292,5,1042576426
146,3853,5,1042049573
148,3585,4,979575560
149,787,5,977325719
149,3625,4,996939315
149,1055,3,993154528
151,3860,3,990839883
151,1502,4,978682521
151,1539,5,992133840
151,3581,4,990839002
151,2962,3,992133860
151,638,3,978682553
161,3860,4,977219958
163,98,1,977220087
165,3592,3,977198784
169,1930,4,977208529
173,3860,3,979252398
173,3047,3,1009652956
173,854,5,993227631
173,2512,5,993227693
173,2544,3,977164143
173,2824,4,979251665
173,2830,4,980007607
187,2994,4,977077076
187,1811,4,977078816
187,2679,1,977079016
187,2963,4,977078937
191,1062,2,977026554
193,649,5,977021667
193,776,3,977019205
193,137,3,1025572855
193,1311,1,977018841
195,717,4,1015890867
195,3867,5,1001970457
195,3796,4,989673962
195,2994,5,1012282835
195,1502,3,977548084
195,774,4,1000996574
195,2512,4,1031782532
195,3245,5,1025023134
195,2602,4,980699391
195,1741,5,987377187
195,2544,3,1030042776
195,1795,5,991013952
195,1796,4,1030981343
195,1891,4,1014961159
195,2768,4,980145850
195,1058,3,1017773556
195,67,4,1006577320
195,632,5,1042095314
203,2695,2,976928647
205,2129,5,976922191
211,3149,4,976907714
212,1531,3,976903711
214,2999,4,976900837
216,3161,5,976868970
216,119,5,976862765
216,131,3,976868256
216,2685,4,976867746
225,1471,2,976830687
225,3187,4,976830931
225,1664,4,976832291
225,1811,3,976912689
225,2830,5,976830732
225,2963,4,976913151
